,G_ID,G_DAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
147,147,20200812,WO,HH,0,B,39,30,3,3,9,2,0,1,1,0,2,1,6,0.0,1,3,3,3,19,0.090909091,11,1
148,148,20200813,KT,SK,0,B,48,36,5,6,10,2,0,1,1,0,1,1,11,0.0,0,17,1,1,34,0.076923077,13,1
149,149,20200813,OB,SS,0,T,39,28,2,2,4,0,0,1,1,0,2,1,9,0.0,0,11,1,1,15,0.0,4,0
150,150,20200813,HT,LG,0,T,33,32,1,2,5,1,0,1,1,0,0,0,1,0.0,0,8,0,0,8,0.2,5,1
151,151,20200813,LT,NC,0,B,33,33,2,2,7,1,0,0,0,0,0,0,0,0.0,0,6,1,1,12,0.25,4,1
152,152,20200813,HH,WO,0,T,39,32,3,3,9,0,0,0,0,0,1,0,5,0.0,1,10,2,2,15,0.25,8,2
153,153,20200813,LG,HT,0,B,35,29,4,4,8,1,0,2,0,0,1,0,4,0.0,1,6,0,0,13,0.166666667,6,1
154,154,20200813,WO,HH,0,B,36,31,6,6,11,1,1,1,1,0,2,0,3,0.0,0,4,1,1,17,0.272727273,11,3
155,155,20200813,NC,LT,0,T,43,39,8,9,14,1,0,1,0,0,0,0,3,0.0,1,7,1,1,19,0.41666666700000005,12,5
156,156,20200813,SK,KT,0,T,47,41,10,10,16,1,0,1,0,0,2,2,4,0.0,0,5,0,0,26,0.3125,16,5
157,157,20200813,SS,OB,0,B,38,33,3,3,9,1,0,2,1,0,0,0,4,0.0,1,5,0,0,18,0.125,8,1
158,158,20200814,WO,LT,0,B,35,32,1,1,5,2,0,0,0,0,0,0,3,0.0,0,7,1,1,16,0.125,8,1
159,159,20200814,HH,SS,0,B,33,30,1,1,4,1,0,0,0,0,0,0,2,0.0,1,8,1,1,10,0.2,5,1
160,160,20200814,NC,LG,0,B,40,36,4,4,8,3,0,0,1,0,0,0,3,0.0,1,13,0,0,14,0.444444444,9,4
161,161,20200814,OB,KT,0,B,53,45,3,3,10,0,0,2,2,0,0,0,8,2.0,0,9,1,1,25,0.0,11,0
162,162,20200814,SK,HT,0,T,43,31,6,6,12,1,0,0,3,0,3,1,8,0.0,1,6,2,2,19,0.333333333,15,5
163,163,20200814,HT,SK,0,B,40,31,6,7,7,2,0,1,0,0,0,0,8,0.0,1,3,0,0,16,0.375,8,3
164,164,20200814,KT,OB,0,T,49,47,4,5,12,3,0,0,2,0,1,0,1,0.0,0,7,0,0,17,0.166666667,12,2
165,165,20200814,LT,WO,0,T,38,31,5,5,11,2,0,0,0,0,2,1,5,1.0,0,6,0,0,22,0.307692308,13,4
166,166,20200814,SS,HH,0,T,44,41,10,10,15,4,0,1,2,0,0,0,3,0.0,0,6,1,1,24,0.38888888899999996,18,7
167,167,20200814,LG,NC,0,T,49,43,10,10,18,2,1,4,0,0,1,0,5,0.0,0,6,1,1,19,0.125,8,1
168,168,20200815,KT,OB,0,T,41,34,4,5,7,2,1,1,1,0,0,0,6,0.0,1,8,0,0,25,0.125,16,2
169,169,20200815,HH,SS,0,B,35,30,0,0,7,0,0,0,1,0,0,0,5,0.0,0,7,1,1,16,0.0,5,0
170,170,20200815,SK,HT,0,T,36,33,3,3,9,2,0,0,0,0,0,0,3,0.0,0,1,2,2,14,0.28571428600000004,7,2
171,171,20200815,NC,LG,0,B,38,34,4,4,10,0,0,2,0,0,1,1,2,0.0,1,13,1,1,16,0.14285714300000002,7,1
172,172,20200815,HT,SK,0,B,44,41,10,10,17,2,1,1,0,0,0,0,3,0.0,0,5,0,0,21,0.46153846200000004,13,6
173,173,20200815,WO,LT,0,T,36,34,3,3,9,4,0,0,0,0,0,0,2,0.0,0,4,1,1,12,0.4,10,4
174,174,20200815,OB,KT,0,B,41,38,7,7,13,1,0,1,3,0,0,0,3,0.0,0,3,1,1,22,0.333333333,15,5
175,175,20200815,LG,NC,0,T,45,40,11,13,15,4,0,2,0,0,1,1,3,0.0,1,9,0,0,18,0.4,15,6
176,176,20200815,LT,WO,0,B,36,35,1,1,7,0,0,0,0,0,0,0,1,0.0,0,6,1,1,21,0.0,6,0
177,177,20200815,SS,HH,0,T,34,29,2,2,3,0,0,1,0,0,1,0,4,0.0,0,11,0,0,9,0.0,4,0
178,178,20200816,LT,WO,0,B,36,30,3,3,6,1,0,0,3,0,1,1,4,0.0,1,5,3,3,12,0.25,8,2
179,179,20200816,SK,HT,0,T,41,34,5,5,7,2,0,0,0,0,0,0,7,0.0,0,13,0,0,19,0.272727273,11,3
180,180,20200816,OB,KT,0,B,35,28,1,1,3,1,0,0,1,0,0,0,6,0.0,1,6,2,2,13,0.111111111,9,1
181,181,20200816,SS,HH,0,T,34,32,2,2,5,1,0,2,1,0,0,0,1,0.0,1,9,0,0,12,0.0,7,0
182,182,20200816,NC,LG,0,B,37,34,5,5,9,5,0,0,0,0,0,0,2,0.0,1,6,2,2,12,0.4,10,4
183,183,20200816,KT,OB,0,T,41,35,4,4,11,5,0,0,1,0,3,1,3,0.0,0,5,1,1,16,0.2,10,2
184,184,20200816,LG,NC,0,T,41,32,6,6,7,0,0,2,0,0,1,0,8,0.0,0,3,1,1,18,0.25,8,2
185,185,20200816,WO,LT,0,T,41,35,5,6,9,5,0,1,1,0,1,1,2,0.0,3,4,0,0,15,0.23076923100000002,13,3
186,186,20200816,HH,SS,0,B,31,26,3,3,2,1,0,0,0,0,0,0,4,0.0,1,4,1,1,9,0.25,4,1
187,187,20200816,HT,SK,0,B,41,38,7,8,15,2,0,1,0,0,0,0,3,0.0,0,10,0,0,17,0.46153846200000004,13,6
