,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,HIT,H2,H3,HR,SB,CS,BB,IB,KK,WP,BK,R,ER
55,20200808,LT,OB,0,T,1,D,0.0,15.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
56,20200809,NC,HT,0,T,0,W,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1,1
57,20200809,WO,LG,0,B,0,W,2.0,27.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1,1
58,20200809,KT,HH,0,T,0,W,3.0,27.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,3,2
59,20200809,LG,WO,0,T,0,L,0.0,24.0,7.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,2,1
60,20200809,HH,KT,0,B,0,L,0.0,27.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6,6
61,20200809,HT,NC,0,B,0,L,0.0,27.0,14.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,8,8
62,20200811,KT,SK,0,B,0,W,1.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1,0
63,20200811,OB,SS,0,T,0,W,2.0,27.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1,1
64,20200811,HH,WO,0,T,0,W,1.0,36.0,12.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,13.0,1.0,0.0,5,4
65,20200811,HT,LG,0,T,0,W,0.0,27.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,4,4
66,20200811,WO,HH,0,B,0,L,0.0,36.0,10.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,10.0,0.0,0.0,7,5
