G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER
20200806WOKT0,20200806,WO,KT,0,B,0,W,2.0,27.0,122,34,32,4.0,1.0,0.0,1.0,1.0,0.0,0,0,2.0,0.0,0.0,9.0,0,0.0,0.0,0,2,2
20200806LGHT0,20200806,LG,HT,0,T,0,L,0.0,24.0,177,42,35,12.0,3.0,0.0,4.0,2.0,0.0,0,0,6.0,0.0,1.0,8.0,1,1.0,0.0,1,13,13
20200806SKLT0,20200806,SK,LT,0,B,0,L,0.0,27.0,150,39,33,6.0,0.0,0.0,2.0,0.0,0.0,0,0,4.0,0.0,2.0,6.0,0,0.0,0.0,0,8,6
20200806LTSK0,20200806,LT,SK,0,T,0,W,0.0,27.0,113,35,33,8.0,1.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,8.0,1,1.0,0.0,1,2,2
20200806HHNC0,20200806,HH,NC,0,B,0,L,0.0,27.0,173,39,32,8.0,1.0,0.0,2.0,0.0,2.0,0,0,7.0,0.0,0.0,4.0,1,0.0,0.0,1,4,4
20200806KTWO0,20200806,KT,WO,0,T,0,L,0.0,24.0,139,35,28,7.0,2.0,0.0,1.0,1.0,0.0,2,1,5.0,1.0,0.0,4.0,1,0.0,0.0,1,3,3
20200806SSOB0,20200806,SS,OB,0,T,0,L,0.0,24.0,140,36,31,7.0,1.0,1.0,0.0,0.0,0.0,1,0,4.0,0.0,0.0,7.0,0,1.0,0.0,0,5,5
20200807SSSK0,20200807,SS,SK,0,T,0,W,1.0,27.0,142,34,32,4.0,1.0,0.0,0.0,0.0,0.0,0,0,2.0,0.0,0.0,7.0,0,1.0,0.0,0,0,0
20200807LGWO0,20200807,LG,WO,0,T,0,W,1.0,27.0,140,38,32,6.0,2.0,0.0,0.0,0.0,0.0,1,1,4.0,0.0,1.0,8.0,0,2.0,0.0,0,2,2
20200807LTOB0,20200807,LT,OB,0,T,0,W,1.0,27.0,117,38,35,11.0,1.0,0.0,0.0,2.0,0.0,2,2,1.0,0.0,0.0,2.0,1,0.0,0.0,1,4,4
