,G_ID,G_DAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
66,66,2020-07-31,LG,한화,0,B,31,29,1,1,4,2,0,0,0,0,0,0,2,0,0,9,0,0,7,0.2,5,1
67,67,2020-07-31,SK,KT,0,T,36,31,1,1,4,0,0,1,0,0,0,0,5,0,0,5,1,1,14,0,2,0
68,68,2020-08-01,Hero,삼성,0,T,62,48,21,22,23,7,0,1,1,0,2,1,11,0,1,6,0,0,26,0.48,25,12
69,69,2020-08-01,LG,한화,0,B,41,39,9,9,15,3,0,0,0,0,0,0,1,0,1,7,0,0,17,0.615384615,13,8
70,70,2020-08-01,두산,NC,0,T,51,45,12,12,17,2,1,0,2,0,2,1,4,1,0,9,1,1,19,0.666666667,15,10
71,71,2020-08-01,KT,SK,0,B,41,36,10,11,13,1,1,3,0,0,0,0,5,0,0,2,2,2,22,0.111111111,9,1
72,72,2020-08-01,롯데,KIA,0,B,37,31,6,7,10,3,0,2,0,0,1,1,5,0,0,3,2,2,20,#REF!,11,1
73,73,2020-08-01,NC,두산,0,B,52,45,10,10,15,4,0,2,2,0,0,0,7,0,0,8,0,0,20,0.357142857,14,5
74,74,2020-08-01,KIA,롯데,0,T,36,34,3,3,9,2,0,1,0,0,0,0,2,0,0,9,1,1,12,0.285714286,7,2
75,75,2020-08-01,삼성,키움,0,B,40,34,7,7,8,4,0,0,0,0,0,0,4,0,2,8,0,0,10,0.666666667,6,4
76,76,2020-08-01,한화,LG,0,T,40,34,6,6,8,2,0,1,1,0,0,0,5,0,1,8,0,0,17,0.3,10,3
77,77,2020-08-01,SK,KT,0,T,34,32,0,0,6,1,0,0,0,0,0,0,2,0,0,5,1,1,10,0,4,0
78,78,2020-08-02,롯데,KIA,0,B,39,34,8,8,11,4,0,0,0,0,1,0,4,0,0,6,2,2,17,0.090909091,15,8
79,79,2020-08-02,두산,두산,0,T,51,48,7,7,15,5,0,0,2,0,1,1,2,0,0,8,2,2,19,0.307692308,13,4
80,80,2020-08-02,Hero,삼성,0,T,41,38,4,4,10,2,0,0,0,0,1,1,2,1,0,4,2,2,14,0.333333333,6,2
81,81,2020-08-02,삼성,키움,0,B,41,39,2,2,10,1,0,1,1,0,0,0,2,0,0,8,0,0,11,0.166666667,6,1
82,82,2020-08-02,NC,두산,0,B,47,42,4,4,8,1,0,2,0,0,0,0,3,0,2,10,1,1,17,0.222222222,9,2
83,83,2020-08-02,KIA,롯데,0,T,32,30,0,0,4,2,0,0,0,0,0,0,2,0,0,10,1,1,13,0,6,0
84,84,2020-08-04,LG,KIA,0,T,47,41,15,15,16,1,2,3,0,0,0,0,5,0,1,9,1,1,16,0.538461538,13,7
85,85,2020-08-04,롯데,SK,0,T,46,41,8,8,15,3,0,1,0,0,0,0,4,0,1,2,1,1,21,0.416666667,12,5
86,86,2020-08-04,KT,키움,0,T,38,32,3,4,11,1,0,0,1,0,2,0,4,0,0,9,3,3,18,0.166666667,12,2
87,87,2020-08-04,삼성,두산,0,T,41,34,5,6,7,2,0,1,1,0,0,0,6,1,1,10,0,0,20,0.333333333,9,3
88,88,2020-08-04,Hero,KT,0,B,38,34,2,2,10,0,0,1,0,0,1,0,3,0,0,7,2,2,13,0.2,5,1
89,89,2020-08-04,두산,삼성,0,B,37,36,3,3,9,1,0,1,0,0,0,0,1,0,0,4,0,0,13,0,6,0
90,90,2020-08-04,KIA,LG,0,B,40,36,5,5,8,1,0,1,0,0,0,0,4,0,0,10,0,0,18,0.333333333,6,2
